Iteration,Win Rate,No Lose Rate
2,0.7,0.9
4,0.7,0.85
6,0.9,1.0
11,0.8,0.9
16,0.85,1.0
19,0.7,0.75
21,0.7,0.95
28,0.7,0.95
29,0.7,0.85
