Iteration,Win Rate,No Lose Rate
1,0.65,0.95
10,0.6,0.9
11,0.5,0.9
12,0.6,0.85
14,0.7,0.95
15,0.55,0.95
18,0.5,0.95
22,0.75,0.85
23,0.7,0.95
24,0.45,0.9
25,0.7,0.9
28,0.75,1.0
29,0.55,0.9
