Iteration,Win Rate,No Lose Rate
1,0.5,0.5
2,0.65,0.65
3,0.5,0.55
4,0.3,0.4
5,0.7,0.8
6,0.6,0.6
7,0.55,0.6
8,0.45,0.6
9,0.4,0.5
10,0.5,0.55
11,0.45,0.45
12,0.65,0.75
13,0.7,0.75
14,0.6,0.65
15,0.5,0.5
16,0.55,0.55
17,0.45,0.5
18,0.5,0.55
19,0.7,0.7
20,0.5,0.5
21,0.45,0.5
22,0.6,0.65
23,0.6,0.7
24,0.6,0.6
25,0.7,0.7
26,0.45,0.5
27,0.5,0.55
28,0.65,0.65
29,0.6,0.6
30,0.6,0.7
