Iteration,Win Rate,No Lose Rate
1,0.4,0.4
2,0.6,0.6
3,0.6,0.7
1,0.4,0.4
2,0.6,0.6
3,0.6,0.7
4,0.55,0.6
5,0.7,0.7
6,0.55,0.55
7,0.5,0.6
8,0.45,0.45
9,0.6,0.65
10,0.5,0.5
11,0.7,0.75
12,0.45,0.45
13,0.4,0.4
14,0.55,0.7
15,0.7,0.75
16,0.5,0.5
17,0.65,0.65
18,0.6,0.6
19,0.6,0.7
20,0.6,0.65
21,0.6,0.6
22,0.6,0.6
23,0.45,0.5
24,0.8,0.8
25,0.55,0.6
26,0.55,0.6
27,0.6,0.65
28,0.8,0.8
29,0.5,0.5
30,0.6,0.65
