Iteration,Win Rate,No Lose Rate
1,0.5,0.5
2,0.65,0.65
3,0.5,0.55
4,0.3,0.4
5,0.5,0.5
6,0.6,0.65
7,0.55,0.55
8,0.5,0.65
9,0.6,0.6
10,0.55,0.55
11,0.65,0.7
12,0.65,0.7
13,0.65,0.7
14,0.55,0.65
15,0.6,0.65
16,0.65,0.65
17,0.6,0.65
18,0.8,0.8
19,0.6,0.65
20,0.5,0.6
21,0.7,0.7
22,0.5,0.5
23,0.45,0.45
24,0.45,0.5
25,0.7,0.75
26,0.55,0.65
27,0.5,0.55
28,0.6,0.7
29,0.75,0.75
30,0.55,0.6
